query,recall,d1,dk,spread,orphan_neighbours
549,1.0000,187.0027,212.5676,1.1367,0
550,1.0000,165.8162,184.6131,1.1134,0
551,0.9000,233.8119,255.1039,1.0911,0
552,0.9000,162.9724,178.4657,1.0951,0
553,0.9000,200.6390,212.4994,1.0591,0
554,1.0000,187.0160,218.5338,1.1685,0
555,1.0000,208.2619,234.8744,1.1278,0
556,1.0000,216.2915,257.7964,1.1919,0
557,1.0000,191.3923,218.8196,1.1433,0
558,1.0000,182.5294,224.1205,1.2279,0
559,1.0000,190.2971,211.5987,1.1119,0
560,1.0000,200.8606,239.5746,1.1927,0
561,0.9000,216.1365,263.5451,1.2193,0
562,0.7000,266.3663,282.2339,1.0596,0
563,1.0000,211.9245,237.6826,1.1215,0
564,1.0000,202.7313,222.0811,1.0954,0
565,0.9000,239.3429,258.3931,1.0796,0
566,1.0000,261.0479,282.3066,1.0814,0
567,1.0000,248.7207,260.8007,1.0486,0
568,1.0000,254.7921,273.0385,1.0716,0
569,1.0000,176.4313,228.8777,1.2973,0
570,1.0000,210.4139,241.7333,1.1488,0
571,1.0000,243.4153,262.4271,1.0781,0
572,1.0000,254.7273,272.0368,1.0680,0
573,1.0000,202.1954,226.4310,1.1199,0
574,1.0000,241.6195,253.9685,1.0511,0
575,0.7000,235.9809,256.7859,1.0882,0
